_key,username,location,postcount,likes,post,gender,identity,marriage,region,risk_appetite,education,revenue,deposit,debt,intended_products,label
10,学习之星黄迪晨,,,,[],,,,,,,,,,,
11,metabeing,,3,6,"['复制粘贴', '反馈', '添加', '表情', '太', '方便']",,,,,,,,,,,
12,excalibur,,,,[],,,,,,,,,,,
13,Gllaucus,,,,[],,,,,,,,,,,
14,jflam,,,,[],,,,,,,,,,,
15,有事说话,,1,2,['玩'],,,,,,,,,,,
16,Nathan,,,,[],,,,,,,,,,,
17,guluglu,,,,[],,,,,,,,,,,
18,蓝红水,,,,[],,,,,,,,,,,
19,Weeknd,,,,[],,,,,,,,,,,
20,Alicia,,,,[],,,,,,,,,,,
21,Afirmiana,,1,2,"['听说', '调戏', '管理员', '发', '女装', '照片', '好']",,,,,,,,,,,
22,Shirley,,,,[],,,,,,,,,,,
23,盐焗土豆_,,2,4,[],,,,,,,,,,,
24,shrimp,,1,2,"['时光', '机', '留给', '回忆', '带路']",,,,,,,,,,,
25,前锦似海,,1,2,"['感觉', '人', '同感']",,,,,,,,,,,
26,Jojo姐,,,,[],,,,,,,,,,,
27,panlis,,,,[],,,,,,,,,,,
28,6F9,"Bilbao, España",5430,4268224551293,"['同样', '跟随', '兄弟', '想要', '标志', '知道', '太多推特', '杀死', '想', '我会', '做', '脱离', '关注', '保持', '人']",,,,,,,,,,,
29,830,,2,0,['爱'],,,,,,,,,,,
30,A4A,,11,14,"['帐户', '冻结', '我会', '卖', '机会', '注册', '电话号码', '似乎', '电子', '烟', '伤害', '视频', '太', '吸烟', '怪物', '能量', '批量', '想要', '瓶', '咖啡馆', '瘾', '睡觉', '起床', '限制', '体育', '教育', '小', '有趣', '万维网', '觉得', '抱歉', '缺少', '猫', '请', '注意']",,,,,,,,,,,
31,1a0,Brisbane,2977,16974,"['托', '博士', '祈祷', '继续', '寻求', '联系', '需要', '发送', '留言', '计划', '组合', '家人', '上帝', '做', '工作', '亲爱', '允许', '想', '进行', '对话', '交换', '联系人', '乐意', '取得联系', '请', '无法', '想象', '选项', '父亲', '军队', '融入', '住', '看到', '发生', '事情', '基督徒', '做好事', '谈谈', '私下', '回答', '告诉', '穿着', '女人', '衣服', '杀', '刚刚', '证明', '观点', '误导', '说', '询问', '审查', '重读', '挂', '政治', '露台', '参加', '选举', '开玩笑', '阻止', '访问', '个人资料', '司法', '秩序', '管辖权', '真相', '业主', '决定', '能读']",,,,,,,,,,,
32,bdf,"California, USA",2875,7956,"['生活', '很棒', '新闻', '祝', '惊人', '恭喜', '爱', '指导', '所有人', '更好', '地方', '能量', '生根', '忽略', '批评者', '杰作', '电影', '铸件', '完美', '故事', '触摸', '不可', '预测', '勇气', '纬度', '需要', '制作', '猜猜', '庆祝', '明亮', '反对', '审查', '很漂亮']",,,,,,,,,,,
33,e36,,2,1,"['粗体', '测试', '布防']",,,,,,,,,,,
34,7FE,,4318,1560,"['恭喜', '宣布', '攀登', '服务', '条目', '重点', '新闻', '部门', '有助于', '性别', '平等', '教会', '当局', '找到', '支持', '移民', '对话', '已知', '双方', '了解', '联邦', '资源', '国家', '摩尔', '人', '不可', '性角', '道歉', '有利于', '妇女', '生活', '伟大', '协议', '组织', '提议']",,,,,,,,,,,
35,5aa,,2,0,['做'],,,,,,,,,,,
36,F0B,,108,19,"['说', '电视', '评级', '播出', '人', '关心', '新', '女孩', '自由', '泻湖', '拥有', '泳池', '派对', '抗', '言论', '作出反应', '准备', '好了吗', '加冕', '宇宙', '恭喜']",,,,,,,,,,,
37,da6,,1333,1,"['伤害', '做', '好', '诙谐', '无法', '查看', '推文', '帐户', '限制', '刚刚', '安装', '找', '不到', '上将', '连接', '方法', '帮', '菜鸟', '问题', '很快', '直观', '列表', '默认', '数字', '提取物', '放置', '需要', '发送']",,,,,,,,,,,
38,134,,1,0,[],,,,,,,,,,,
39,894,osaka,11768,40082,"['博物馆', '牛排', '捣乱', '克服', '儿子', '漂亮', '应该', '等待', '圣诞老人', '破折号', '选择', '电动', '自行车', '困扰', '只', '尝试', '单位', '惊讶', '松下', '移动', '方式', '英寸', '胆量', '放置', '地方', '尚未', '能够', '来到', '耐心', '燃烧', '丈夫', '天使', '说', '儿童', '看护', '提高', '看前', '长', '活动', '美味', '炸丸子', '鸡', '感激', '看到', '买', '专辑', '马铃薯', '探险队', '可爱', '喜欢', '推出', '出生', '重量', '攻击', '储存', '门廊', '看不到', '先生', '想', '再次', '见到', '衣堂', '米饭', '嫉妒', '睡眠', '监测', '好', '担心', '是否', '计划', '回复']",,,,,,,,,,,
40,223,,1,4518,['欺骗'],,,,,,,,,,,
41,130,,1115,2311,"['抬头', '抬起', '梦想', '摆脱', '堂宁', '看到', '我会', '牙龈', '醒来', '无限', '循环', '梦', '生', '原油', '住在一起', '睡觉', '乐趣', '太', '妈妈', '做到', '生物', '创造性', '时', '应该', '人', '无法', '睡', '好', '琐事', '平静', '舌头', '感到', '兴奋', '想', '牧场']",,,,,,,,,,,
42,049,,38,2,"['紧急', '利用', '武器', '反对', '和平', '抗议者', '赤手', '证明', '糟糕', '政府', '欺负', '采取', '最', '射击', '听到', '土地', '声音', '强盗', '劫匪', '接受', '生病', '惩罚', '给予', '国家', '发展', '保护', '创造', '利益', '赦免', '很快', '地球', '说', '已经', '达到', '佩戴', '民主', '羊毛', '狐狸', '足够', '大赦', '小偷', '规则', '值得', '要求', '人', '阻止', '法律', '需求', '表明', '派遣', '军警', '检查', '体育场', '纯洁', '看看', '正义', '形式', '敌人', '制作', '标准', '农场', '做', '耳朵', '眼睛', '闭合']",,,,,,,,,,,
43,6dd,"Colorado, USA",1,0,['活着'],,,,,,,,,,,
44,AB3,,2,0,"['帮助', '关注']",,,,,,,,,,,
45,b64,,98,52,"['文章', '摇头', '费力', '比较', '流感', '受伤', '声称', '考虑', '误导性', '告诉', '老化', '朋友', '想要', '听到', '设想', '尝试', '找到', '标有', '同样', '扁平', '地球', '推文', '奇怪', '错', '做', '刺戳', '弥补', '了让', '人们', '事实', '无用', '锁定', '来临', '基因治疗', '人', '传播', '导致', '生病', '病毒', '死亡', '考虑一下', '单词', '政府', '有助于', '澄清', '事物', '舒适', '饮料', '双人床', '刚刚', '员工', '免费', '优惠券', '意味着', '买', '实际上', '自由', '修复', '代码', '状态', '消息', '常规', '履行', '错误', '无法', '再次', '工作', '继续', '获得', '普通']",,,,,,,,,,,
46,2fa,Wolfsburg,800,5289,"['提示', '已经', '提供', '回来', '黑色', '吐司', '怜悯', '至少', '做', '季节', '想', '看看', '酷', '请', '快速', '腿']",,,,,,,,,,,
47,f2e,,1,0,[],,,,,,,,,,,
48,560,,1,0,"['真', '可爱']",,,,,,,,,,,
49,577,,1,0,"['好', '上帝']",,,,,,,,,,,
50,1bc,Palm Beach,367,12597,"['儿童', '秒钟', '注意', '手', '信号', '应该', '困境', '收获', '躲', '树', '扔到', '兄弟', '又名', '电影', '坏人', '真的', '重新', '编程', '芯片', '说', '语言', '已知', '写作', '检查', '更快', '完成', '松果', '有没有', '留在', '真实', '变得', '碎纸机', '越难', '狂欢', '火星', '跋涉']",,,,,,,,,,,
51,cbd,,413,675,"['哀悼', '鸽子', '翅膀', '发出', '噪音', '只', '鸟', '想', '见证', '找到', '可爱', '谷歌', '种类', '指', '美国版', '肉桂', '牛奶', '惊讶', '激励', '听', '人', '论点', '思绪', '改变', '成为', '争论', '发现', '倒下', '来回', '参数', '最', '适合', '替补', '工具', '明显', '合作', '看到', '神经', '潜水', '潮', '显示', '影响力', '工作', '请', '方法', '认为', '抗体', '应该', '持续', '听到', '有效', '获得', '狗', '帐篷']",,,,,,,,,,,
52,3ac,,21,6,"['检查', '告诉', '说话', '机会', '联系', '知道', '地方', '发', '检查一下', '给我发', '消息']",,,,,,,,,,,
53,6da,廣州Canton,2095,2060,"['挺', '可惜', '概股', '腰斩', '公鸡', '省钱', '长远', '身体', '差', '存在', '说', '优惠', '规则', '变改', '恭喜', '想起', '死亡', '终站', '伟哥', '相随', '有点', '想', '笑', '前段时间']",,,,,,,,,,,
54,A5C,,11,0,"['讨厌', '达到', '留下', '新', '推文', '看电视', '学校', '甜蜜', '生活', '好', '猜', '坐在', '房间', '从上', '获取', '等不及', '更好', '手机', '终于', '久', '得到', '时', '我会', '兄弟', '男人', '基督徒', '受苦', '告诉', '秘密', '人', '神经', '听到', '谈', '电话', '生病']",,,,,,,,,,,
55,710,,3,0,"['推荐', '免费', '获得', '正版书', '骗人', '想', '做', '做到', '激情']",,,,,,,,,,,
56,e2d,San Francisco,86,6,"['钉', '可悲', '击中', '角膜', '激光', '火灾', '导致', '永久', '失明', '请', '保存', '快乐', '生产', '季节', '制作', '原创', '签署', '请愿书', '喊出', '推', '特上', '爱', '头骨', '蛇', '代理', '铁杆', '自主', '促销', '海报', '最新', '帖子', '帆船', '旅行', '拼', '硬', '冷却器', '忍者', '战士', '夹克', '原因', '围起来', '佩戴', '西装', '幻灯片', '发布', '新', '工作', '强调', '试图', '看到', '乐队', '飞机', '视频']",,,,,,,,,,,
57,248,,3,0,"['喜欢', '视频', '说', '无法', '区分', '再见', '欢迎', '来到']",,,,,,,,,,,
58,A20,,2,0,['饱和'],,,,,,,,,,,
59,bd7,,3,0,"['上瘾', '饮酒', '瘾', '最', '重要', '人', '挑战', '时间', '给予', '优势']",,,,,,,,,,,
60,38b,,1,0,"['选择', '玻璃', '泡沫', '最好', '草', '放置', '最', '挤压', '推文', '彩票', '挤', '例到', '人']",,,,,,,,,,,
61,2b5,,2,0,['报名'],,,,,,,,,,,
62,E17,,1,0,"['做', '太']",,,,,,,,,,,
63,2ca,,161,7,"['线', '延迟', '头发', '切断', '好', '坏', '应该', '离开', '铁王', '太弱', '可爱', '先生', '想', '成为', '使用', '优惠券', '成年人']",,,,,,,,,,,
64,631,,12,0,"['使用', '公司', '工作', '高', '达', '赚', '小时', '需要', '钱', '建议', '赚钱', '犹豫']",,,,,,,,,,,
65,1f0,,4,0,['爸爸'],,,,,,,,,,,
66,d43,,2213,1055,"['想', '咬', '阴唇', '我会', '热情', '遵守', '依偎', '阻止', '长期', '列表', '约会', '人', '想到', '考虑', '决定', '胜利', '举动', '玩', '承认', '猫', '希望', '情绪', '投入', '浮躁', '重力', '成为', '庇护', '花', '百合', '白色', '精致', '技术人员', '手', '做', '婴儿', '愈', '伤', '组织', '金星', '耐心', '代码', '差异', '橡皮', '旅行', '计划']",,,,,,,,,,,
67,17C,大阪,6533,684,"['厌倦', '忙碌', '汤', '眼球', '已经', '死', '开心', '公司', '迷失', '筑', '科', '谈到', '人类', '取消资格', '线路', '注册', '睡', '脸', '可爱', '钓鱼', '衣裤', '告诉', '完成', '通常', '美味', '应该', '早起', '到达', '时间', '变化']",,,,,,,,,,,
68,983,,1,0,[],,,,,,,,,,,
69,51A,London,141,426,"['失去', '交叉', '开放式', '政策', '解决方案', '尴尬', '推', '丢失', '投票', '集团', '取消', '关注', '听说', '测试', '花', '小时', '互联网', '虫', '洞', '凝视着', '教练', '谚语', '卖', '房子', '购买', '艺术', '博物馆', '设计', '专业人士', '订单', '充满', '房屋', '太酷', '棍子', '漂亮', '夹克', '先生', '游戏', '模块化', '搁架', '墙', '证明', '最好', '投资', '形状', '移位', '器', '建筑物', '摘要']",,,,,,,,,,,
70,F0A,,4,0,"['和平', '上帝', '怜悯', '最好', '希望', '看看', '消息']",,,,,,,,,,,
71,565,,2,0,"['工作', '踢', '屁股', '试图', '推特', '消息', '是否', '需要', '知道']",,,,,,,,,,,
72,b6d,Kuwait,139,35,"['世界', '最好', '卫兵', '问题', '喷气机', '来自', '同事', '需要', '运气', '奖球', '奖']",,,,,,,,,,,
73,4a9,,2,0,"['赚', '访问', '留在', '赚钱', '工作', '小时', '查看']",,,,,,,,,,,
74,9db,,5,1,"['追逐', '社区', '给予', '慈善机构', '投票', '赠款', '价格', '分享', '火灾', '赠品', '赢得', '新', '机会', '推文', '推', '特']",,,,,,,,,,,
75,784,,4,0,"['尝试', '再次', '致电', '帮助', '热线', '重要', '铭记', '早餐', '躺', '床上', '思考']",,,,,,,,,,,
76,435,,3,0,"['赛道', '运动', '网站', '测试']",,,,,,,,,,,
77,8E0,Riyadh,286,15,"['工作', '机会', '小组', '寻找', '持牌', '律师', '团队', '提交', '电子邮件', '冠军', '赢得', '惊讶', '家庭', '做', '方向', '尊重', '现代性', '好处', '做到', '资本', '扩张', '指纹', '很好', '良好', '成就', '化妆', '中心', '宣布', '金色', '推动者', '需要', '填补', '希望', '应用', '邮寄', '函授', '上帝', '愿意', '创意', '赐福', '相似', '投资', '实现', '刺激', '手段', '获得', '生活', '质量', '相关', '方面', '创造', '类型', '根', '解决方案', '新', '创作', '就业机会', '会议', '触摸', '发展', '繁荣', '渴望', '人', '存在', '场合', '同事', '合作伙伴', '有利于', '倾销', '庆祝', '分享', '政府', '社会', '快乐', '赐给', '上帝保佑', '一崽', '奔苏', '早', '设施', '收购', '提醒']",,,,,,,,,,,
78,4b3,heywood,194,33,"['真的', '喂养', '伙计', '热', '停止', '家伙', '融化', '污秽', '看着', '强大', '来到', '男孩', '人', '吃', '哭', '猫', '简单', '力量', '很棒']",,,,,,,,,,,
79,b86,,17,128,[],,,,,,,,,,,
80,a77,,4,0,"['希望', '很快', '小鸡', '照顾', '孩子', '想要', '自由', '按钮']",,,,,,,,,,,
81,B59,Schipluiden,361,6,"['无法', '阻止', '诉状', '永远', '看到', '范围', '新', '钢琴', '招待会', '充满', '饱满', '食堂', '醒目', '成员', '协会', '彩票', '时想', '拍摄', '帐户', '知道', '曾经', '管理', '想要', '接受', '请', '给出', '回复', '税务', '服务', '调用', '收到', '答案', '帮助', '声明', '联系', '手球', '足球', '蜗牛']",,,,,,,,,,,
82,488,,1,0,['测试'],,,,,,,,,,,
83,024,,66,24,"['发布', '照片', '脱', '滴', '试验', '发送', '出租车', '进入', '会议室', '错误', '神', '领导', '山', '荒诞', '钓鱼', '说法', '湿润', '水分', '供应']",,,,,,,,,,,
84,110,"الرياض, المملكة العربية السعودية",74,16,"['已经', '制作', '并给', '真主', '怜悯', '父亲', '响应', '属于', '返回', '上帝', '叔叔', '幻灯片', '要求', '津贴', '自助', '服务', '执法', '代码', '到达', '应用程序', '取消', '相同', '进行', '图标', '确认', '特别', '洗', '解决方案', '参展商', '经验', '认为', '假', '证书', '博士学位', '监狱', '休息', '总统', '决议', '国家', '受到', '节目', '全能', '分享', '贷款', '网站', '胜利', '牦牛', '好', '健康', '幸福']",,,,,,,,,,,
85,Beb,,1,0,"['寻求', '收集', '帮助', '公司', '关闭', '母亲', '确定']",,,,,,,,,,,
86,60e,,1,0,['加入'],,,,,,,,,,,
87,60e,,1,0,['加入'],,,,,,,,,,,
88,371,,24,0,"['赶上', '高铁', '还好', '统联', '回台', '想', '行驶', '时间', '载客', '最好', '同学', '航班', '小时', '安检', '候机', '预计', '抵达', '没车', '进', '夜宿', '爆炸', '真是', '吓到', '爆点', '买书', '康', '广场', '真的', '景点', '刚刚', '地铁', '发生', '暴炸', '书局', '买', '书', '地铁站', '有够', '吓人', '爆炸声', '感到', '反推', '逛逛', '唱片', '发觉', '原文书', '便宜', '勒', '几本书', '历经', '路程', '终于', '返回', '入住', '饭店', '坐', '躺', '市集', '购物', '继续', '未', '完成', '正', '坐在', '慢慢', '欣赏', '发呆', '搭乘', '无法', '辨别', '长途', '火车', '延误', '稍', '做', '休息', '看不懂', '车厢', '差别', '幸好', '终究', '上车', '卧铺', '还算', '舒适', '难题', '知道', '站', '国铁', '搞', '神经', '紧张', '车站', '月台', '网路', '订票', '不用', '再', '换', '票', '找', '不到']",,,,,,,,,,,
89,CB2,"Chicago, IL",17459,3620,"['遗憾', '听到', '乐意', '看待', '订单', '信息', '市场', '抱歉', '发货', '请', '订单号', '进一步', '调查', '样本', '经历', '样品', '延迟', '答复', '跟进', '团队', '建议', '客户', '遇到', '错误', '现金', '上涨', '知道', '问题', '希望', '很快', '得到', '解决', '分享', '工作', '耐心', '延误', '深表歉意', '供应链', '原材料', '织物', '集装箱', '短缺', '造成']",,,,,,,,,,,
90,4E5,,2,0,[],,,,,,,,,,,
91,C9E,,3,0,"['火', '颜色', '性行为']",,,,,,,,,,,
92,bdb,Barcelona,12346,3,"['感觉', '早餐', '更好', '感谢', '圣诞快乐', '网站', '更新', '版', '富有', '拥抱', '团队', '问题', '出版物', '禁用', '广告', '避免', '延误', '享受', '已经', '改变', '推', '特', '形象', '具有', '现代化', '设计', '希望', '喜欢', '汽车', '门户网站', '推出', '使用', '平板', '电脑', '版本', '匹配', '配置', '读写', '应用程序', '手机', '孩子', '合作', '收到', '油瓶', '温柔']",,,,,,,,,,,
93,223,,1,4518,['欺骗'],,,,,,,,,,,
94,4d9,,1,0,[],,,,,,,,,,,
95,A65,,1,0,[],,,,,,,,,,,
96,95D,"Recife, Pernambuco",114,1130,"['到达', '遍布', '抵达', '销售', '不幸', '肯诺', '已经', '打球', '球队', '播放', '肯定', '选择', '面对', '忘记', '时间', '十字架', '成为', '目标', '问题', '冠军', '集团', '扮演', '游戏', '一直', '重要', '球员', '包', '分享', '主角', '出售', '来自', '时代', '标题', '偶像', '回答', '支持者', '听', '人们', '说', '决定性', '胜利', '标记', '尽头', '最']",,,,,,,,,,,
97,108,"New York, NY",47407,9068,"['做', '真的', '考虑', '拥有', '使用', '升级', '一直', '拖延', '也许', '有助于', '优先', '事情', '收到', '漂亮', '睡衣', '穿着', '想', '继续', '记录', '说明', '错', '读完', '推文', '我会', '承认', '实际上', '喜欢', '思想', '实验', '频繁', '设计', '讨论', '榜', '实例', '笑', '完美', '清除', '武器', '功能', '颜色', '编码', '好', '强迫', '只', '建议', '玩', '刚刚', '回答', '地方', '人', '尊重', '摊牌', '承诺', '伸展', '超出', '问题', '界限', '再次', '需要', '锁定', '关键', '情况', '涉及', '文字', '键', '陨铁', '达到', '大脑', '疯狂', '时刻']",,,,,,,,,,,
98,237,"Tel-Aviv, Israel",59,0,"['需要', '杀人', '工人', '斑点', '人力资源', '批评', '竞标', '公司', '替换', '纸箱', '绿', '合并', '记住', '截止', '房间', '见到', '群众', '食物']",,,,,,,,,,,
99,f38,,1,0,[],,,,,,,,,,,
100,921,tokyo,17842,850,"['请', '海藻', '浸泡', '汤', '可爱', '地震', '同意', '活动', '发票', '弱小', '事', '利用', '取消', '拒绝', '工作', '文化', '制度', '系统', '对面']",,,,,,,,,,,
