_key,username,location,postcount,likes,post,gender,identity,marriage,region,risk_appetite,education,revenue,deposit,debt,intended_products,label
10,学习之星黄迪晨,,,,[],,,,,,,,,,,
11,metabeing,,3,6,"['我还以为是复制粘贴过来的', ' :man-raising-hand:', '@admin ok 还有别的反馈 不能自己添加表情也不太方便']",,,,,,,,,,,
12,excalibur,,,,[],,,,,,,,,,,
13,Gllaucus,,,,[],,,,,,,,,,,
14,jflam,,,,[],,,,,,,,,,,
15,有事说话,,1,2,['出来玩？'],,,,,,,,,,,
16,Nathan,,,,[],,,,,,,,,,,
17,guluglu,,,,[],,,,,,,,,,,
18,蓝红水,,,,[],,,,,,,,,,,
19,Weeknd,,,,[],,,,,,,,,,,
20,Alicia,,,,[],,,,,,,,,,,
21,Afirmiana,,1,2,['听说调戏够七天后，管理员会发女装照片\n好起来了ψ(｀∇´)ψ'],,,,,,,,,,,
22,Shirley,,,,[],,,,,,,,,,,
23,盐焗土豆_,,2,4,"['啦啦啦', '我不会发图片']",,,,,,,,,,,
24,shrimp,,1,2,['时光机 留给你 回忆里 谁带路...'],,,,,,,,,,,
25,前锦似海,,1,2,['感觉深大里面都是一群非正常人，你们有同感吗'],,,,,,,,,,,
26,Jojo姐,,,,[],,,,,,,,,,,
27,panlis,,,,[],,,,,,,,,,,
